,PROP_TYPE,ADDRESS,CITY,ZIP,PRICE,LOCATION,SQFT,YR_BUILT,MLS#,LATITUDE,LONGITUDE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS
3759,Single Family Residential,7826 Airlane Ave,Los Angeles,90045,1399000,Westchester,1318.0,1946.0,24-346733,33.9680878,-118.3898606,5108,3200.02057957982,1905,7.0,0.0
3760,Single Family Residential,2856 Palmer Dr,Los Angeles,90065,1499000,623 - Glassel Park,1974.0,1956.0,PW24010416,34.1322674,-118.2285673,2280,2442.71448979351,4905,0.0,4.0
3761,Single Family Residential,3118 Isabel Dr,Los Angeles,90065,1450000,680 - Mount Washington,1687.0,1925.0,SW24014595,34.1037118,-118.2324008,2430,4161.95299031561,2952,17.0,1.0
3762,Single Family Residential,6019 Buena Vista Ter,Los Angeles,90042,1549000,618 - Eagle Rock,1501.0,1919.0,P1-16296,34.131404,-118.190454,3391,4207.59924307557,2730,20.0,5.0
3764,Single Family Residential,3710 Willowcrest Ave,Studio City,91604,1499000,Studio City,1501.0,1949.0,24-343527,34.1370735,-118.3663514,594,5022.10823389886,566,15.0,8.0
3766,Vacant Land,11854 Avalon Blvd,Los Angeles,90061,1795000,Metropolitan South,3223.827432733158,1962.9808163265307,24-350953,33.925384,-118.264853,1379,2469.75430034219,282,21.0,0.0
3767,Condo/Co-op,15340 Albright St #105,Pacific Palisades,90272,1415000,C15 - Pacific Palisades,1386.0,1973.0,SB24004890,34.0485797,-118.5262171,1613,5254.21416429442,6049,14.0,7.0
3768,Condo/Co-op,132 N Swall Dr #202,Los Angeles,90048,1775000,Beverly Center-Miracle Mile,1340.0,2017.0,24-350161,34.0762652,-118.3855242,4299,499.394296476762,6236,27.0,4.0
3770,Single Family Residential,12059 Juniette St,Culver City,90230,1699000,Culver City,1371.0,1952.0,24-350819,33.9835813,-118.40757,2668,3350.23834713636,4692,15.0,5.0
3772,Single Family Residential,2807 Coliseum St,Los Angeles,90018,1529000,Park Hills Heights,1682.0,1940.0,24-344671,34.0187637,-118.3264953,2289,2950.83674766034,1035,13.0,0.0
3775,Single Family Residential,5423 S Harcourt Ave,Los Angeles,90043,1549000,PHHT - Park Hills Heights,2258.0,1927.0,TR24001547,33.9923823,-118.3412409,1977,4157.96350556264,1290,8.0,0.0
3776,Single Family Residential,1829 S Gramercy Pl,Los Angeles,90019,1575000,Mid Los Angeles,3647.0,1908.0,24-350521,34.0408867,-118.3133867,939,863.661835917624,2842,31.0,12.0
3777,Single Family Residential,3852 Sherview Dr,Sherman Oaks,91403,1759000,Sherman Oaks,2080.0,1960.0,24-350477,34.1393542,-118.4625129,3260,3166.89148403909,10315,0.0,0.0
3778,Single Family Residential,2818 1/2 Abbot Kinney Blvd,Venice,90291,1550000,Venice,1600.0,1954.0,24-344321,33.9886796,-118.4524879,1652,1709.64281991844,5506,12.0,9.0
3779,Vacant Land,129 N Soto St,Los Angeles,90033,1590000,BOYH - Boyle Heights,3223.827432733158,1962.9808163265307,MB24013209,34.0431069,-118.2107783,249,515.374603841966,117,30.0,7.0
3780,Multi-Family,933 S Gramercy Pl,Los Angeles,90019,1499999,Hancock Park-Wilshire,3223.827432733158,1962.9808163265307,24-344207,34.0548311,-118.3135198,361,1609.26334463612,1063,34.0,23.0
3782,Single Family Residential,3641 S Genesee Ave,Los Angeles,90016,1499999,Park Hills Heights,1425.0,1948.0,23-288519,34.020663,-118.3720047,968,2432.36754219959,764,12.0,11.0
3783,Single Family Residential,1318 N Beverly Glen Blvd,Los Angeles,90077,1395000,Bel Air - Holmby Hills,1243.0,1926.0,24-344495,34.0971239,-118.4411196,2144,4163.97308203696,8310,0.0,0.0
3784,Multi-Family,1270 W 35th Pl,Los Angeles,90007,1388677,C23 - Metropolitan,2358.0,1905.0,DW24010816,34.0233877,-118.2967319,2874,2136.82150194046,900,40.0,6.0
3785,Multi-Family,1300 S Tremaine Ave,Los Angeles,90019,1549500,Hancock Park-Wilshire,2334.0,1939.0,24-343601,34.051098,-118.3395307,2756,2445.58171041613,3709,27.0,13.0
3786,Single Family Residential,3933 Glenalbyn Dr,Mount Washington,90065,1549000,680 - Mount Washington,2217.0,2024.0,CV24012404,34.0935913,-118.2131194,955,2827.78118068288,855,16.0,2.0
3787,Multi-Family,893 S Norton Ave,Los Angeles,90005,1490000,HPK - Hancock Park,1975.0,1921.0,SR24011624,34.055926,-118.3200338,752,2086.86127358792,1475,30.0,6.0
