SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DIST,HOSPITAL_D,RAIL_DIST,ESCHOOL,HSCHOOL,BUS_COUNTS,FnB_COUNTS
MLS Listing,,Condo/Co-op,7740 Redlands St Unit M1081,Playa Del Rey,CA,90293,695000,3.00000000000,2.00000000000,C31 - Playa Del Rey,1189.00000000000,311788.00000000000,1971.00000000000,43,585.00000000000,587.0,Active,https://www.redfin.com/CA/Playa-del-Rey/7740-Redlands-St-90293/unit-M1081/home/6634012,CRMLS,OC24003227,N,Y,33.95844640000,-118.43116480000,3433,3288.121694165100000,5955,LOS ANGELES USD,LOS ANGELES USD,14.000000000000000,0.000000000000000
MLS Listing,,Multi-Family (2-4 Unit),3317 Morgan Ave,Los Angeles,CA,90011,725000,4.00000000000,3.00000000000,699 - Not Defined,1488.00000000000,3900.00000000000,1920.00000000000,43,487.00000000000,,Active,https://www.redfin.com/CA/Los-Angeles/3317-Morgan-Ave-90011/home/6927699,CRMLS,DW24002978,N,Y,34.01039800000,-118.24517000000,1308,3640.654027620130000,1025,LOS ANGELES USD,LOS ANGELES USD,26.000000000000000,0.000000000000000
MLS Listing,,Condo/Co-op,8675 Falmouth Ave #322,Playa Del Rey,CA,90293,695000,1.00000000000,1.00000000000,Playa Del Rey,842.00000000000,162394.00000000000,1983.00000000000,44,825.00000000000,551.0,Active,https://www.redfin.com/CA/Playa-del-Rey/8675-Falmouth-Ave-90293/unit-322/home/6631111,TheMLS,24-344463,N,Y,33.95501600000,-118.43614910000,3927,3635.319572024150000,6434,LOS ANGELES USD,LOS ANGELES USD,12.000000000000000,1.000000000000000
MLS Listing,,Vacant Land,7810 Torreyson Dr,Los Angeles,CA,90046,650000,0.00000000000,0.00000000000,Sunset Strip - Hollywood Hills West,0.00000000000,32083.00000000000,0.00000000000,44,0.00000000000,,Active,https://www.redfin.com/CA/Los-Angeles/7810-Torreyson-Dr-90046/home/23224601,TheMLS,24-344449,N,Y,34.12842600000,-118.36965900000,1745,6004.318092733540000,1738,LOS ANGELES USD,LOS ANGELES USD,2.000000000000000,0.000000000000000
MLS Listing,,Condo/Co-op,6400 Crescent Park #105,Playa Vista,CA,90094,699000,1.00000000000,1.00000000000,Playa Vista,900.00000000000,28425.00000000000,2005.00000000000,44,777.00000000000,944.0,Active,https://www.redfin.com/CA/Playa-Vista/6400-Crescent-Park-E-90094/unit-105/home/8179311,TheMLS,23-342307,N,Y,33.97011640000,-118.42675890000,1941,2126.352881170080000,5931,LOS ANGELES USD,LOS ANGELES USD,4.000000000000000,5.000000000000000
MLS Listing,,Multi-Family (2-4 Unit),1333 W 4th St,San Pedro,CA,90732,720000,3.00000000000,2.00000000000,187 - Holy Trinity,968.00000000000,6073.00000000000,1923.00000000000,44,744.00000000000,,Active,https://www.redfin.com/CA/San-Pedro/1333-W-4th-St-90732/home/7690050,CRMLS,SB24002586,N,Y,33.74054330000,-118.30502950000,1223,292.077930061661000,13012,LOS ANGELES USD,LOS ANGELES USD,14.000000000000000,0.000000000000000
MLS Listing,,Single Family Residential,207 S Bleakwood Ave,Los Angeles,CA,90022,729000,2.00000000000,1.00000000000,699 - Not Defined,918.00000000000,5312.00000000000,1943.00000000000,44,794.00000000000,,Active,https://www.redfin.com/CA/Los-Angeles/207-S-Bleakwood-Ave-90022/home/6967823,CRMLS,DW24002263,N,Y,34.03516230000,-118.15521630000,6462,2372.692224303730000,251,LOS ANGELES USD,LOS ANGELES USD,28.000000000000000,0.000000000000000
MLS Listing,,Condo/Co-op,10501 Wilshire Blvd #1406,Los Angeles,CA,90024,679000,1.00000000000,1.00000000000,Westwood - Century City,598.00000000000,42193.00000000000,1963.00000000000,45,1135.00000000000,1041.0,Active,https://www.redfin.com/CA/Los-Angeles/10501-Wilshire-Blvd-90024/unit-1406/home/21916949,TheMLS,24-343456,N,Y,34.06405290000,-118.43271500000,3152,1547.499779200830000,3769,LOS ANGELES USD,LOS ANGELES USD,15.000000000000000,0.000000000000000
MLS Listing,,Multi-Family (2-4 Unit),649 S Eastman Ave,Los Angeles,CA,90023,689950,4.00000000000,0.00000000000,BOYH - Boyle Heights,1536.00000000000,1685.00000000000,1924.00000000000,45,449.00000000000,,Active,https://www.redfin.com/CA/Los-Angeles/649-S-Eastman-Ave-90023/home/6961873,CRMLS,DW24002031,N,Y,34.02699980000,-118.18643660000,3710,528.419796791580000,1170,LOS ANGELES USD,LOS ANGELES USD,16.000000000000000,0.000000000000000
MLS Listing,,Condo/Co-op,880 W 1st St #217,Los Angeles,CA,90012,665000,2.00000000000,2.00000000000,C42 - Downtown L.A.,1243.00000000000,123931.00000000000,1982.00000000000,45,535.00000000000,1150.0,Active,https://www.redfin.com/CA/Los-Angeles/880-W-1st-St-90012/unit-217/home/6933495,CRMLS,SR24001108,N,Y,34.05724120000,-118.25179430000,1082,1522.535926689120000,339,LOS ANGELES USD,LOS ANGELES USD,54.000000000000000,95.000000000000000
