,PROP_TYPE,ADDRESS,CITY,ZIP,PRICE,LOCATION,SQFT,YR_BUILT,MLS#,LATITUDE,LONGITUDE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS
2869,Condo/Co-op,845 N Kingsbury St #602,Chicago,60610,415000,CHI - Near North Side,2025.4227820372398,2007.0,11968828,41.89852,-87.64342,392,2507,872,38,36
2870,Condo/Co-op,900 N Kingsbury St #901,Chicago,60610,475000,Domain Lofts,2025.4227820372398,1902.0,11970970,41.8990168,-87.6444169,502,2632,1001,33,23
2871,Condo/Co-op,869 W Blackhawk St #401,Chicago,60642,374696,CHI - Near North Side,1153.0,2023.0,11959105.0,41.9085383,-87.6510657,592,2518,380,29,36
2872,Condo/Co-op,860 W Blackhawk St #801,Chicago,60642,389000,CHI - Near North Side,905.0,2009.0,11949325.0,41.9087444,-87.6506103,569,2479,327,29,36
2873,Condo/Co-op,1042 N Orleans St #2,Chicago,60610,499500,CHI - Near North Side,1116.0,1890.0,11943833,41.901773,-87.6376614,51,2091,766,64,62
2874,Townhouse,432 W Elm St #8107,Chicago,60610,550000,CHI - Near North Side,1606.0,2008.0,11965402,41.9028633,-87.6396348,28,2363,929,51,39
2875,Condo/Co-op,900 N Kingsbury St #976,Chicago,60610,550000,Domain Lofts,1400.0,1940.0,11964128,41.8990168,-87.6444169,502,2632,1001,33,23
2876,Condo/Co-op,900 N Kingsbury St #964,Chicago,60610,589900,Domain Lofts,1400.0,1934.0,11869404,41.8990168,-87.6444169,502,2632,1001,33,23
2877,Condo/Co-op,1322 N Clybourn Ave Unit 4S,Chicago,60610,659000,CHI - Near North Side,1850.0,2007.0,11799550.0,41.90606,-87.6430447,104,2884,773,42,30
2878,Condo/Co-op,1317 N Larrabee St #203,Chicago,60610,749900,River North,1707.0,2016.0,11944920,41.9053523,-87.6430383,104,2883,863,39,29
2879,Condo/Co-op,1008 N Larrabee St Unit 3S,Chicago,60610,670000,CHI - Near North Side,1648.0,2016.0,11971355.0,41.9007896,-87.6433561,383,2600,1021,38,21
2880,Single Family Residential,1149 N Frontier Ave,Chicago,60610,995000,Old Town Village West,2025.4227820372398,2004.0,11795007,41.9029346,-87.6454145,321,2936,1228,32,16
2882,Condo/Co-op,873 N Larrabee St #306,Chicago,60610,389900,CHI - Near North Side,1200.0,2016.0,11958928.0,41.898639,-87.642694,311,2432,802,37,37
2885,Multi-Family,959 W 18th Pl,Chicago,60608,425000,CHI - Lower West Side,2025.4227820372398,1910.0,11906184,41.8572388,-87.6505571,279,2920,1569,32,25
2886,Condo/Co-op,931 W 18th Pl,Chicago,60608,600000,CHICAGO,2025.4227820372398,2007.0,202306778,41.8572357,-87.6495779,178,3005,1553,28,25
2887,Condo/Co-op,931 W 18th Pl Unit 2E,Chicago,60608,600000,CHI - Lower West Side,2025.4227820372398,2007.0,11933854,41.8572357,-87.6495779,178,3005,1553,28,25
2889,Multi-Family,1036 W 18th St,Chicago,60608,649900,CHI - Lower West Side,2025.4227820372398,1890.0,11971392.0,41.8581301,-87.6529618,440,2629,1762,36,31
2902,Multi-Family,6439 S Sangamon St,Chicago,60621,145900,CHI - Englewood,2025.4227820372398,1898.0,11922253,41.7767319,-87.6481029,711,1697,569,38,4
2906,Multi-Family,6611 S Lowe Ave,Chicago,60621,165000,CHI - Englewood,2025.4227820372398,1880.0,11891487,41.7739444,-87.6404807,218,1075,855,31,1
2907,Multi-Family,6710 S Parnell Ave,Chicago,60621,339000,CHI - Englewood,2025.4227820372398,1885.0,11952409,41.7721735,-87.6390331,90,1161,1164,28,1
2908,Multi-Family,6411 S Peoria St,Chicago,60621,295000,CHI - Englewood,2025.4227820372398,1905.0,11848653,41.7775061,-87.6468922,713,1549,392,36,4
2909,Multi-Family,6629 S Sangamon St,Chicago,60621,315000,CHI - Englewood,2025.4227820372398,1897.0,11964953,41.7733705,-87.6480075,712,1835,954,41,1
2910,Single Family Residential,520 W 66th St,Chicago,60621,290000,CHI - Englewood,2138.0,1895.0,11929389,41.7745776,-87.637734,389,789,965,35,0
2911,Multi-Family,523 W 65th Pl,Chicago,60621,595000,CHI - Englewood,2025.4227820372398,1905.0,11787865,41.7751517,-87.6377729,458,730,905,32,2
2912,Single Family Residential,1711 N Tripp Ave,Chicago,60639,309900,CHI - Humboldt Park,1350.0,1893.0,11971506,41.9120398,-87.7322494,100,3489,3738,46,3
2913,Multi-Family,1632 N Tripp Ave,Chicago,60639,405000,CHI - Humboldt Park,2025.4227820372398,1896.0,11947349,41.9108575,-87.7327259,131,3348,3876,41,2
2914,Single Family Residential,1642 N Keeler Ave,Chicago,60639,649000,CHI - Humboldt Park,2025.4227820372398,2023.0,11966483.0,41.9111344,-87.7315559,194,3334,3782,45,2
2915,Multi-Family,1542 N Kolin Ave,Chicago,60651,379900,CHI - Humboldt Park,2025.4227820372398,1926.0,11958440.0,41.9089326,-87.7353547,442,3232,3510,31,1
2916,Multi-Family,7521 S Union Ave,Chicago,60620,389000,CHI - Englewood,2025.4227820372398,1900.0,11925954.0,41.7572591,-87.6414829,16,3313,2083,36,0
2917,Single Family Residential,8015 S Aberdeen St,Chicago,60620,324900,CHI - Auburn Gresham,1677.0,1921.0,11966874,41.7482437,-87.6510031,599,4944,2893,40,2
2918,Single Family Residential,7927 S Sangamon St,Chicago,60620,294500,CHI - Auburn Gresham,1872.0,1913.0,11966537,41.7497251,-87.6474188,582,4589,2478,41,2
2919,Multi-Family,7751 S Peoria St,Chicago,60620,350000,CHI - Auburn Gresham,2025.4227820372398,1908.0,11966296,41.7526938,-87.6462625,721,4129,2372,36,1
2920,Single Family Residential,7808 S Morgan St,Chicago,60620,244900,CHI - Auburn Gresham,1914.0,1918.0,11861812,41.7520421,-87.6492532,611,4347,2691,42,2
2921,Multi-Family,7512 S Peoria St,Chicago,60620,284900,CHI - Auburn Gresham,2025.4227820372398,1916.0,11626981,41.7572536,-87.6469177,579,3533,2627,38,0
2922,Multi-Family,7731 S Carpenter St,Chicago,60620,379000,CHI - Auburn Gresham,2025.4227820372398,1908.0,11963540.0,41.7532729,-87.6498854,470,4212,2784,44,1
2923,Multi-Family,7817 S Aberdeen St,Chicago,60620,400000,CHI - Auburn Gresham,2025.4227820372398,1915.0,11972675,41.751837,-87.6510538,475,4461,2889,40,2
2924,Multi-Family,7826 S Morgan St,Chicago,60620,369000,CHI - Auburn Gresham,2025.4227820372398,1954.5356613756614,11941672.0,41.7515345,-87.649221,657,4415,2682,40,2
2927,Multi-Family,7032 S Saint Lawrence Ave,Chicago,60637,75000,CHI - Greater Grand Crossing,2025.4227820372398,1954.5356613756614,11902898.0,41.7665937,-87.6107084,564,3061,1701,63,0
2928,Single Family Residential,6937 S Eberhart Ave,Chicago,60637,229000,CHI - Greater Grand Crossing,1656.0,1902.0,11933760,41.7684462,-87.6127036,584,2721,1459,68,0
2929,Multi-Family,6961 S Eberhart Ave,Chicago,60637,154400,CHI - Greater Grand Crossing,2025.4227820372398,1910.0,11933745,41.767832,-87.6126272,512,2780,1469,68,0
2930,Multi-Family,7049 S Vernon Ave,Chicago,60637,210000,CHI - Greater Grand Crossing,2025.4227820372398,1905.0,11969023,41.7661322,-87.6137889,235,2834,1379,61,0
2931,Multi-Family,7047 S Vernon Ave,Chicago,60637,347000,CHI - Greater Grand Crossing,2025.4227820372398,1920.0,11951477,41.7662195,-87.6137793,245,2826,1377,61,0
2932,Multi-Family,7236 S Vernon Ave,Chicago,60619,315000,CHI - Greater Grand Crossing,2025.4227820372398,1917.0,11884020,41.7628133,-87.6143163,205,3141,1524,51,3
2934,Multi-Family,7116 S King Dr,Chicago,60619,240500,CHI - Greater Grand Crossing,2025.4227820372398,1917.0,11923086,41.7651969,-87.6156103,21,2782,1230,51,1
2935,Multi-Family,358 E 70th Pl,Chicago,60637,365000,CHI - Greater Grand Crossing,2025.4227820372398,1901.0,11967898.0,41.7667672,-87.616082,256,2580,1109,59,0
2936,Multi-Family,7008 S King Dr,Chicago,60637,450000,CHI - Greater Grand Crossing,2025.4227820372398,1895.0,11966571,41.7671851,-87.6155941,317,2579,1150,56,0
2937,Multi-Family,7020 S Calumet Ave,Chicago,60637,400000,CHI - Greater Grand Crossing,2025.4227820372398,1912.0,11944349,41.7668274,-87.6172295,272,2482,982,64,1
2938,Multi-Family,502 E 74th St,Chicago,60619,775000,CHI - Greater Grand Crossing,2025.4227820372398,1913.0,11847649,41.76039,-87.6122188,635,3051,1925,48,4
2939,Condo/Co-op,6737 S Merrill Ave Unit 1N,Chicago,60649,49900,CHI - South Shore,2025.4227820372398,1997.0,11779580,41.7724016,-87.5725187,173,753,3894,37,4
2940,Condo/Co-op,6700 S South Shore Dr Unit 4K,Chicago,60649,89000,CHI - South Shore,800.0,1968.0,11971590.0,41.7732979,-87.5670874,48,773,4441,19,2
2941,Condo/Co-op,6738 S Crandon Ave #1,Chicago,60649,175000,CHI - South Shore,2000.0,2005.0,11919471,41.7724023,-87.5702979,177,751,4130,38,4
2942,Condo/Co-op,6700 S South Shore Dr Unit 18J,Chicago,60649,142000,CHI - South Shore,793.0,1968.0,11898074,41.7732979,-87.5670874,48,773,4441,19,2
2943,Condo/Co-op,6730 S South Shore Dr #406,Chicago,60649,140000,CHI - South Shore,1000.0,1954.5356613756614,11767367,41.772514,-87.5670071,52,873,4478,25,3
2944,Condo/Co-op,6730 S South Shore Dr #1604,Chicago,60649,189000,CHI - South Shore,1100.0,1980.0,11949453,41.772514,-87.5670071,52,873,4478,25,3
2945,Condo/Co-op,6700 S South Shore Dr Unit 19K,Chicago,60649,114999,CHI - South Shore,2025.4227820372398,1968.0,11894438,41.7732979,-87.5670874,48,773,4441,19,2
2948,Condo/Co-op,6830 S South Shore Dr #1,Chicago,60649,125000,CHI - South Shore,1250.0,1926.0,11961192,41.770326,-87.5670559,54,1156,4569,32,11
2951,Condo/Co-op,7036 S Merrill Ave Unit GN,Chicago,60649,79000,CHI - South Shore,1000.0,1914.0,11861033.0,41.767207,-87.573062,681,1529,4141,45,18
2952,Condo/Co-op,6840 S South Shore Dr #3,Chicago,60649,180000,CHI - South Shore,2025.4227820372398,1954.5356613756614,11951499,41.770326,-87.5670559,54,1156,4569,32,11
2953,Condo/Co-op,6832 S South Shore Dr #2,Chicago,60649,160000,CHI - South Shore,1350.0,1929.0,11950556,41.770326,-87.5670559,54,1156,4569,32,11
2954,Condo/Co-op,6922 S Jeffery Blvd Unit 7N,Chicago,60649,194000,CHI - South Shore,3000.0,1927.0,11763317,41.7691191,-87.5767314,556,1369,3647,39,11
2955,Multi-Family,7030 S Chappel Ave,Chicago,60649,375000,CHI - South Shore,2025.4227820372398,1918.0,11895500.0,41.7670446,-87.5754284,472,1606,3923,39,15
2956,Condo/Co-op,6830 S South Shore Dr #1,Chicago,60649,125000,CHI - South Shore,1250.0,1926.0,11961192,41.770326,-87.5670559,54,1156,4569,32,11
2959,Condo/Co-op,7036 S Merrill Ave Unit GN,Chicago,60649,79000,CHI - South Shore,1000.0,1914.0,11861033.0,41.767207,-87.573062,681,1529,4141,45,18
2960,Condo/Co-op,6840 S South Shore Dr #3,Chicago,60649,180000,CHI - South Shore,2025.4227820372398,1954.5356613756614,11951499,41.770326,-87.5670559,54,1156,4569,32,11
2961,Condo/Co-op,6832 S South Shore Dr #2,Chicago,60649,160000,CHI - South Shore,1350.0,1929.0,11950556,41.770326,-87.5670559,54,1156,4569,32,11
2962,Condo/Co-op,6922 S Jeffery Blvd Unit 7N,Chicago,60649,194000,CHI - South Shore,3000.0,1927.0,11763317,41.7691191,-87.5767314,556,1369,3647,39,11
2963,Multi-Family,7030 S Chappel Ave,Chicago,60649,375000,CHI - South Shore,2025.4227820372398,1918.0,11895500.0,41.7670446,-87.5754284,472,1606,3923,39,15
2964,Condo/Co-op,6814 S East End Ave #2,Chicago,60649,148900,CHI - South Shore,1200.0,2006.0,11884957,41.771,-87.5841534,362,1711,2787,49,6
2965,Condo/Co-op,6832 S Cornell Ave #2,Chicago,60649,259900,CHI - South Shore,1600.0,2007.0,11964263,41.7705097,-87.5853013,433,1858,2716,45,3
2966,Condo/Co-op,5777 N Northwest Hwy #201,Chicago,60631,187000,CHI - Norwood Park,900.0,1955.0,11944160,41.9867473,-87.78869,239,2800,2344,28,1
2967,Condo/Co-op,6221 N Niagara Ave #206,Chicago,60631,195000,Point East Condominiums,1012.0,1974.0,11969818,41.9935942,-87.7995343,209,1863,1984,19,5
2968,Single Family Residential,6234 N Naper Ave,Chicago,60631,400000,CHI - Norwood Park,1120.0,1926.0,11898035,41.994809,-87.7890008,826,2994,2898,17,7
2970,Single Family Residential,7128 W Devon Ave,Chicago,60631,600000,CHI - Norwood Park,2296.0,1958.0,11848409,41.9980088,-87.806109,715,1843,2370,21,3
2971,Single Family Residential,6535 N Natoma Ave,Chicago,60631,539900,CHI - Norwood Park,2025.4227820372398,1960.0,11886154,42.0002342,-87.791992,627,3125,3277,5,2
2972,Single Family Residential,6326 S Seeley Ave,Chicago,60636,80000,CHI - West Englewood,990.0,1908.0,11690723.0,41.7783947,-87.6756346,559,2319,1315,32,0
2979,Single Family Residential,6439 S Damen Ave,Chicago,60636,202900,CHI - West Englewood,2025.4227820372398,1913.0,11961213,41.7763352,-87.6735496,394,2355,1149,28,0
2980,Single Family Residential,6825 S Wood St,Chicago,60636,140000,CHI - West Englewood,440.0,1915.0,11926217,41.7695178,-87.6685894,575,2651,1504,37,1
2981,Multi-Family,6329 S Wolcott Ave,Chicago,60636,159900,CHI - West Englewood,2025.4227820372398,1903.0,11968521,41.7784542,-87.6712317,621,2733,826,31,0
2982,Multi-Family,6822 S Wood St,Chicago,60636,134900,CHI - West Englewood,2025.4227820372398,1931.0,11915589,41.7696499,-87.6690875,539,2596,1506,37,1
2983,Multi-Family,6741 S Paulina St,Chicago,60636,160000,CHI - West Englewood,2025.4227820372398,1909.0,11954241,41.7709742,-87.6661526,695,2934,1218,35,1
2984,Single Family Residential,6832 S Wolcott Ave,Chicago,60636,179900,CHI - West Englewood,1080.0,1962.0,11771814,41.7692649,-87.6715244,307,2324,1680,37,1
2985,Single Family Residential,6835 S Winchester Ave,Chicago,60636,125000,CHI - West Englewood,828.0,1905.0,11900509,41.7692473,-87.6722319,270,2245,1724,37,1
2986,Single Family Residential,6501 S Hamilton Ave,Chicago,60636,147000,CHI - West Englewood,1668.0,1888.0,11841419,41.7755569,-87.677218,366,1940,1573,32,0
2988,Multi-Family,1836 W Marquette Rd,Chicago,60636,250000,CHI - West Englewood,2025.4227820372398,1927.0,11958606,41.7722799,-87.6703581,275,2497,1232,35,1
