community,population.density,median.age,Dominant Race,city
Lincoln Heights,12349,35.2,Hispanic or Latino,Los Angeles City
Little Armenia,27752,41.5,White,Los Angeles City
Mar Vista,11147,41.5,White,Los Angeles City
McLaughlin,13159,42.3,White,Los Angeles City
Media District,4295,47,White,Los Angeles City
Montecito Heights,5781,40.5,Hispanic or Latino,Los Angeles City
Monterey Hills,9050,39,Hispanic or Latino,Los Angeles City
Mount Washington,12104,35.5,Hispanic or Latino,Los Angeles City
Northeast Los Angeles,9876,38.6,Hispanic or Latino,Los Angeles City
Palms,11564,39,White,Los Angeles City
Playa Del Rey,7810,39.8,White,Los Angeles City
Simons,2934,39.6,Hispanic or Latino,Los Angeles City
South park,17924,31.6,Hispanic or Latino,Los Angeles City
Southeast Los Angeles,21302,30.1,Hispanic or Latino,Los Angeles City
Thai Town,40323,43.3,Hispanic or Latino,Los Angeles City
Watts,22298,28.6,Hispanic or Latino,Los Angeles City
Wellington Heights,22149,33,Hispanic or Latino,Los Angeles City
West Adams,11416,37.1,Hispanic or Latino,Los Angeles City
West Hollywood West,6675,45.8,White,Los Angeles City
West LA,11942,36.8,White,Los Angeles City
Westwood,14946,35.8,White,Los Angeles City
Whittier,21873,35.2,Hispanic or Latino,Los Angeles City
Wilshire,20423,37.5,Hispanic or Latino,Los Angeles City
Battery Park City,34587,33.4,White,New York City
Bellevue,44972,35.2,White,New York City
Bowery,44467,36,Asian,New York City
Central Park,69548,43.4,White,New York City
Chelsea,61847,43.6,White,New York City
Chinatown,62181,39.3,Asian,New York City
City Hall,89008,41.5,White,New York City
Civic Center,51894,35.5,White,New York City
Downtown,66111,38.2,White,New York City
East Harlem,81321,38.3,Hispanic or Latino,New York City
Garment District,40730,38.5,White,New York City
Gramercy Park,71817,37.7,White,New York City
Greenwich Village,77849,36.5,White,New York City
Hamilton Heights,108060,35.9,Hispanic or Latino,New York City
Harlem,82116,37.5,Black,New York City
Inwood,50696,40.8,Hispanic or Latino,New York City
Kips Bay,64137,38,White,New York City
Lenox Hill,56726,41.1,White,New York City
Little Italy,100231,37.5,Asian,New York City
LoDel,88839,43.7,Asian,New York City
