PRICE,SQFT,house.age,PROP_TYPE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS,neighborhood,population.density,median.age,dominant.race,city
1349000,2695,117,Multi-Family,1295,366.5934861,1332,37,6,Downtown,66111,38.2,White,Los Angeles City
1100000,2277,114,Multi-Family,2371,1861.265643,831,30,0,Downtown,66111,38.2,White,Los Angeles City
949000,3168,110,Multi-Family,1794,1815.802943,2335,32,11,Downtown,66111,38.2,White,Los Angeles City
999000,3120,119,Multi-Family,958,420.2356927,1002,28,3,Downtown,66111,38.2,White,Los Angeles City
1300000,2720,98,Multi-Family,1047,4185.093522,3056,29,1,Downtown,66111,38.2,White,Los Angeles City
1350000,5503,61,Multi-Family,329,3928.396045,1817,29,2,Downtown,66111,38.2,White,Los Angeles City
1019000,2570,113,Multi-Family,1355,3002.745734,1900,48,4,Downtown,66111,38.2,White,Los Angeles City
1250000,3686,10,Multi-Family,1369,4958.008754,3696,42,1,Downtown,66111,38.2,White,Los Angeles City
1250000,5453,119,Multi-Family,1999,1783.627247,1247,42,1,Downtown,66111,38.2,White,Los Angeles City
999980,3126,110,Multi-Family,832,1872.589752,755,30,2,Downtown,66111,38.2,White,Los Angeles City
1175000,2200,71,Multi-Family,1519,2646.902641,1082,42,6,Downtown,66111,38.2,White,Los Angeles City
1350000,3224.438916,60.023669,Vacant Land,235,1960.606932,1464,55,8,Downtown,66111,38.2,White,Los Angeles City
1800000,4858,63,Multi-Family,905,1782.439497,703,31,1,Downtown,66111,38.2,White,Los Angeles City
1799999,3692,115,Multi-Family,1522,2649.627468,1071,42,6,Downtown,66111,38.2,White,Los Angeles City
1755000,4862,118,Multi-Family,1624,590.492524,974,55,27,Downtown,66111,38.2,White,Los Angeles City
1889000,4719,106,Multi-Family,2226,2805.660352,486,36,2,Downtown,66111,38.2,White,Los Angeles City
2100000,5187,129,Multi-Family,1652,1275.754319,1377,50,0,Downtown,66111,38.2,White,Los Angeles City
1780000,3224.438916,60.023669,Vacant Land,1552,591.6275437,2639,40,16,Downtown,66111,38.2,White,Los Angeles City
1699000,2800,123,Single Family Residential,1596,611.2357818,942,54,27,Downtown,66111,38.2,White,Los Angeles City
1595000,3823,60.023669,Multi-Family,1123,3916.490264,1787,31,4,Downtown,66111,38.2,White,Los Angeles City
1799000,4277,-1,Multi-Family,959,6687.235994,4306,29,7,Downtown,66111,38.2,White,Los Angeles City
1400000,3058,112,Single Family Residential,789,669.86512,1538,50,6,Downtown,66111,38.2,White,Los Angeles City
1499000,3966,117,Multi-Family,2882,2730.035472,725,35,7,Downtown,66111,38.2,White,Los Angeles City
1488800,3726,5,Multi-Family,545,3723.417581,1052,43,3,Downtown,66111,38.2,White,Los Angeles City
2300000,4429,99,Multi-Family,349,3829.863735,2338,38,1,Downtown,66111,38.2,White,Los Angeles City
2795000,4444,70,Multi-Family,1542,583.3412367,1189,46,14,Downtown,66111,38.2,White,Los Angeles City
