PRICE,SQFT,house.age,PROP_TYPE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS,neighborhood,population.density,median.age,dominant.race,city
749000,2133,122,Single Family Residential,592.5345644,503.3621852,779.074655,11,1,The Bronx,34920,31,Hispanic or Latino,New York City
839000,1829.844584,53,Multi-Family,499.5317986,986.4403952,791.3987199,19,7,The Bronx,34920,31,Hispanic or Latino,New York City
600000,2382,113,Multi-Family,365.5098476,802.9814806,846.8665309,16,5,The Bronx,34920,31,Hispanic or Latino,New York City
999000,3060,16,Multi-Family,230.9842081,885.0409859,742.1675164,18,5,The Bronx,34920,31,Hispanic or Latino,New York City
999000,2580,122,Multi-Family,430.1725107,356.7104642,371.8781956,14,8,The Bronx,34920,31,Hispanic or Latino,New York City
949999,2565,15,Multi-Family,163.5387663,418.0946425,445.6535749,13,8,The Bronx,34920,31,Hispanic or Latino,New York City
949999,2565,15,Multi-Family,170.6515373,425.3777467,445.6979629,12,8,The Bronx,34920,31,Hispanic or Latino,New York City
925000,2062,21,Multi-Family,455.6389764,872.9554065,728.1859412,11,6,The Bronx,34920,31,Hispanic or Latino,New York City
789000,1829.844584,66.235406,Vacant Land,465.1888352,656.2844282,464.4655137,10,8,The Bronx,34920,31,Hispanic or Latino,New York City
1100000,3008,124,Multi-Family,488.0465479,815.2862041,453.6572901,11,10,The Bronx,34920,31,Hispanic or Latino,New York City
1200000,1829.844584,124,Multi-Family,254.8444879,1045.590521,349.4248808,13,14,The Bronx,34920,31,Hispanic or Latino,New York City
284000,1111,87,Condo/Co-op,588.0963399,844.0683822,372.6377908,17,12,The Bronx,34920,31,Hispanic or Latino,New York City
999000,1829.844584,123,Multi-Family,571.8750986,1251.063778,287.8428177,19,14,The Bronx,34920,31,Hispanic or Latino,New York City
549000,1462,124,Single Family Residential,391.1292383,1377.445959,538.0733291,9,5,The Bronx,34920,31,Hispanic or Latino,New York City
439000,1829.844584,122,Single Family Residential,484.8431367,1255.051061,613.3956025,6,6,The Bronx,34920,31,Hispanic or Latino,New York City
