PRICE,SQFT,house.age,PROP_TYPE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS,neighborhood,population.density,median.age,dominant.race,city
499000,2700.0,2.0,Single Family Residential,716.0,1902.0,647.0,56,5,Woodlawn,15747,36.5,Black,Chicago
229900,1155.0,137.0,Single Family Residential,625.0,1716.0,698.0,42,1,Austin,18763,36.1,Black,Chicago
198000,1200.0,108.0,Single Family Residential,659.0,1693.0,771.0,40,1,Austin,18763,36.1,Black,Chicago
234900,2025.422782,133.0,Multi-Family,198.0,2178.0,560.0,32,0,Austin,18763,36.1,Black,Chicago
499000,2025.422782,59.0,Multi-Family,687.0,1775.0,785.0,44,5,Austin,18763,36.1,Black,Chicago
480000,2025.422782,116.0,Multi-Family,258.0,2217.0,260.0,29,0,Austin,18763,36.1,Black,Chicago
349900,1.0,111.0,Single Family Residential,400.0,4388.0,2160.0,34,1,Austin,18763,36.1,Black,Chicago
495000,994.0,110.0,Single Family Residential,359.0,4331.0,2182.0,29,1,Austin,18763,36.1,Black,Chicago
371000,1882.0,68.46433862,Single Family Residential,462.0,4214.0,1971.0,47,4,Austin,18763,36.1,Black,Chicago
395000,1820.0,111.0,Single Family Residential,333.0,4340.0,2120.0,42,3,Austin,18763,36.1,Black,Chicago
899000,2025.422782,96.0,Multi-Family,629.0,3713.0,1444.0,42,3,Austin,18763,36.1,Black,Chicago
529900,2025.422782,0.0,Multi-Family,325.0,4556.0,2398.0,41,2,Austin,18763,36.1,Black,Chicago
299900,2025.422782,114.0,Multi-Family,339.0,2587.0,1152.0,52,1,Austin,18763,36.1,Black,Chicago
1199000,2025.422782,98.0,Multi-Family,333.0,2562.0,1137.0,52,1,Austin,18763,36.1,Black,Chicago
205000,1734.0,68.46433862,Single Family Residential,799.0,3759.0,1662.0,48,3,Austin,18763,36.1,Black,Chicago
306000,2025.422782,101.0,Multi-Family,479.0,3847.0,2093.0,46,1,Austin,18763,36.1,Black,Chicago
285000,2025.422782,105.0,Multi-Family,733.0,4004.0,1807.0,45,3,Austin,18763,36.1,Black,Chicago
425000,2025.422782,114.0,Multi-Family,630.0,3054.0,1397.0,29,0,Austin,18763,36.1,Black,Chicago
418900,2025.422782,107.0,Multi-Family,748.0,3872.0,1619.0,46,3,Austin,18763,36.1,Black,Chicago
449900,2025.422782,98.0,Multi-Family,443.0,3988.0,2108.0,41,1,Austin,18763,36.1,Black,Chicago
399000,1638.0,109.0,Single Family Residential,608.0,3853.0,1955.0,45,3,Austin,18763,36.1,Black,Chicago
529900,2025.422782,0.0,Multi-Family,582.0,4064.0,1957.0,40,3,Austin,18763,36.1,Black,Chicago
190000,2025.422782,108.0,Multi-Family,306.0,3029.0,590.0,31,2,Austin,18763,36.1,Black,Chicago
80000,800.0,53.0,Condo/Co-op,50.0,2562.0,556.0,35,1,Austin,18763,36.1,Black,Chicago
319900,2400.0,123.0,Single Family Residential,403.0,2925.0,864.0,40,2,Austin,18763,36.1,Black,Chicago
345000,2027.0,142.0,Single Family Residential,119.0,2570.0,572.0,35,2,Austin,18763,36.1,Black,Chicago
299999,1212.0,108.0,Single Family Residential,266.0,2789.0,776.0,36,2,Austin,18763,36.1,Black,Chicago
365000,1538.0,115.0,Single Family Residential,652.0,3530.0,1357.0,41,2,Austin,18763,36.1,Black,Chicago
119900,1700.0,119.0,Single Family Residential,73.0,2117.0,679.0,38,1,Austin,18763,36.1,Black,Chicago
310000,2025.422782,110.0,Multi-Family,198.0,2248.0,394.0,31,1,Austin,18763,36.1,Black,Chicago
392200,2025.422782,15.0,Multi-Family,209.0,2013.0,871.0,50,1,Austin,18763,36.1,Black,Chicago
392200,2025.422782,15.0,Multi-Family,200.0,2006.0,864.0,50,1,Austin,18763,36.1,Black,Chicago
750000,2025.422782,1.0,Multi-Family,491.0,2490.0,517.0,34,1,Austin,18763,36.1,Black,Chicago
530000,2025.422782,114.0,Multi-Family,750.0,2854.0,198.0,23,0,Austin,18763,36.1,Black,Chicago
149900,2025.422782,111.0,Multi-Family,534.0,2154.0,1109.0,57,1,Austin,18763,36.1,Black,Chicago
181000,2025.422782,110.0,Multi-Family,471.0,2484.0,1048.0,52,2,Austin,18763,36.1,Black,Chicago
249900,2025.422782,120.0,Multi-Family,661.0,2323.0,788.0,44,1,Austin,18763,36.1,Black,Chicago
389900,2025.422782,101.0,Multi-Family,408.0,2018.0,1108.0,62,1,Austin,18763,36.1,Black,Chicago
289900,1400.0,103.0,Single Family Residential,995.0,3371.0,2714.0,45,1,Austin,18763,36.1,Black,Chicago
249900,2368.0,96.0,Single Family Residential,939.0,3407.0,2785.0,47,1,Austin,18763,36.1,Black,Chicago
349000,2025.422782,99.0,Multi-Family,732.0,3274.0,2993.0,47,1,Austin,18763,36.1,Black,Chicago
265000,2025.422782,98.0,Multi-Family,689.0,2618.0,3175.0,35,0,Austin,18763,36.1,Black,Chicago
370000,2025.422782,103.0,Single Family Residential,564.0,3294.0,3147.0,41,1,Austin,18763,36.1,Black,Chicago
395000,2400.0,109.0,Single Family Residential,885.0,3639.0,2328.0,36,1,Austin,18763,36.1,Black,Chicago
699500,2025.422782,99.0,Multi-Family,718.0,3538.0,3000.0,38,1,Austin,18763,36.1,Black,Chicago
615000,2410.0,3.0,Single Family Residential,661.0,3458.0,3048.0,39,1,Austin,18763,36.1,Black,Chicago
370000,1568.0,14.0,Townhouse,759.0,3600.0,4150.0,42,0,Austin,18763,36.1,Black,Chicago
359900,2000.0,13.0,Townhouse,793.0,3576.0,4228.0,39,0,Austin,18763,36.1,Black,Chicago
399900,2025.422782,96.0,Multi-Family,799.0,3882.0,3459.0,36,0,Austin,18763,36.1,Black,Chicago
649000,2025.422782,0.0,Multi-Family,476.0,4286.0,2757.0,46,2,Austin,18763,36.1,Black,Chicago
309000,2025.422782,71.0,Multi-Family,318.0,1097.0,1446.0,62,1,Austin,18763,36.1,Black,Chicago
325000,2025.422782,98.0,Multi-Family,459.0,770.0,1670.0,63,1,Austin,18763,36.1,Black,Chicago
398500,1154.0,104.0,Single Family Residential,476.0,452.0,1739.0,52,0,Austin,18763,36.1,Black,Chicago
720000,2025.422782,58.0,Multi-Family,241.0,499.0,1717.0,54,1,Austin,18763,36.1,Black,Chicago
129999,1200.0,70.0,Townhouse,416.0,1593.0,743.0,69,1,Austin,18763,36.1,Black,Chicago
120000,1000.0,138.0,Single Family Residential,62.0,2480.0,835.0,58,1,Austin,18763,36.1,Black,Chicago
255000,2025.422782,112.0,Multi-Family,519.0,1978.0,622.0,69,1,Austin,18763,36.1,Black,Chicago
350000,2025.422782,68.46433862,Multi-Family,456.0,1766.0,699.0,71,1,Austin,18763,36.1,Black,Chicago
285000,2025.422782,111.0,Multi-Family,170.0,2355.0,783.0,60,1,Austin,18763,36.1,Black,Chicago
284900,3100.0,132.0,Single Family Residential,646.0,1861.0,448.0,64,0,Austin,18763,36.1,Black,Chicago
374900,2025.422782,123.0,Multi-Family,473.0,2035.0,670.0,64,1,Austin,18763,36.1,Black,Chicago
385000,2025.422782,108.0,Multi-Family,360.0,2189.0,424.0,53,0,Austin,18763,36.1,Black,Chicago
419000,1600.0,143.0,Single Family Residential,827.0,2218.0,211.0,49,0,Austin,18763,36.1,Black,Chicago
415000,2000.0,101.0,Single Family Residential,1092.0,1743.0,372.0,48,0,Austin,18763,36.1,Black,Chicago
179700,2025.422782,68.46433862,Multi-Family,543.0,3575.0,1282.0,37,0,Austin,18763,36.1,Black,Chicago
308900,1232.0,68.46433862,Single Family Residential,778.0,3806.0,1538.0,46,1,Austin,18763,36.1,Black,Chicago
379000,2025.422782,113.0,Multi-Family,647.0,3327.0,1051.0,37,0,Austin,18763,36.1,Black,Chicago
564999,2025.422782,123.0,Multi-Family,529.0,3804.0,1350.0,30,0,Austin,18763,36.1,Black,Chicago
579000,2025.422782,115.0,Multi-Family,618.0,4024.0,1735.0,41,1,Austin,18763,36.1,Black,Chicago
