PRICE,SQFT,house.age,PROP_TYPE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS,neighborhood,population.density,median.age,dominant.race,city
371000,1882,68.46433862,Single Family Residential,462,4214,1971,47,4,Austin,18763,36.1,Black,Chicago
395000,1820,111,Single Family Residential,333,4340,2120,42,3,Austin,18763,36.1,Black,Chicago
899000,2025.422782,96,Multi-Family,629,3713,1444,42,3,Austin,18763,36.1,Black,Chicago
529900,2025.422782,0,Multi-Family,325,4556,2398,41,2,Austin,18763,36.1,Black,Chicago
299900,2025.422782,114,Multi-Family,339,2587,1152,52,1,Austin,18763,36.1,Black,Chicago
1199000,2025.422782,98,Multi-Family,333,2562,1137,52,1,Austin,18763,36.1,Black,Chicago
205000,1734,68.46433862,Single Family Residential,799,3759,1662,48,3,Austin,18763,36.1,Black,Chicago
306000,2025.422782,101,Multi-Family,479,3847,2093,46,1,Austin,18763,36.1,Black,Chicago
285000,2025.422782,105,Multi-Family,733,4004,1807,45,3,Austin,18763,36.1,Black,Chicago
425000,2025.422782,114,Multi-Family,630,3054,1397,29,0,Austin,18763,36.1,Black,Chicago
418900,2025.422782,107,Multi-Family,748,3872,1619,46,3,Austin,18763,36.1,Black,Chicago
449900,2025.422782,98,Multi-Family,443,3988,2108,41,1,Austin,18763,36.1,Black,Chicago
399000,1638,109,Single Family Residential,608,3853,1955,45,3,Austin,18763,36.1,Black,Chicago
529900,2025.422782,0,Multi-Family,582,4064,1957,40,3,Austin,18763,36.1,Black,Chicago
190000,2025.422782,108,Multi-Family,306,3029,590,31,2,Austin,18763,36.1,Black,Chicago
80000,800,53,Condo/Co-op,50,2562,556,35,1,Austin,18763,36.1,Black,Chicago
319900,2400,123,Single Family Residential,403,2925,864,40,2,Austin,18763,36.1,Black,Chicago
345000,2027,142,Single Family Residential,119,2570,572,35,2,Austin,18763,36.1,Black,Chicago
299999,1212,108,Single Family Residential,266,2789,776,36,2,Austin,18763,36.1,Black,Chicago
365000,1538,115,Single Family Residential,652,3530,1357,41,2,Austin,18763,36.1,Black,Chicago
119900,1700,119,Single Family Residential,73,2117,679,38,1,Austin,18763,36.1,Black,Chicago
310000,2025.422782,110,Multi-Family,198,2248,394,31,1,Austin,18763,36.1,Black,Chicago
392200,2025.422782,15,Multi-Family,209,2013,871,50,1,Austin,18763,36.1,Black,Chicago
392200,2025.422782,15,Multi-Family,200,2006,864,50,1,Austin,18763,36.1,Black,Chicago
750000,2025.422782,1,Multi-Family,491,2490,517,34,1,Austin,18763,36.1,Black,Chicago
530000,2025.422782,114,Multi-Family,750,2854,198,23,0,Austin,18763,36.1,Black,Chicago
149900,2025.422782,111,Multi-Family,534,2154,1109,57,1,Austin,18763,36.1,Black,Chicago
181000,2025.422782,110,Multi-Family,471,2484,1048,52,2,Austin,18763,36.1,Black,Chicago
249900,2025.422782,120,Multi-Family,661,2323,788,44,1,Austin,18763,36.1,Black,Chicago
389900,2025.422782,101,Multi-Family,408,2018,1108,62,1,Austin,18763,36.1,Black,Chicago
289900,1400,103,Single Family Residential,995,3371,2714,45,1,Austin,18763,36.1,Black,Chicago
249900,2368,96,Single Family Residential,939,3407,2785,47,1,Austin,18763,36.1,Black,Chicago
349000,2025.422782,99,Multi-Family,732,3274,2993,47,1,Austin,18763,36.1,Black,Chicago
265000,2025.422782,98,Multi-Family,689,2618,3175,35,0,Austin,18763,36.1,Black,Chicago
370000,2025.422782,103,Single Family Residential,564,3294,3147,41,1,Austin,18763,36.1,Black,Chicago
395000,2400,109,Single Family Residential,885,3639,2328,36,1,Austin,18763,36.1,Black,Chicago
699500,2025.422782,99,Multi-Family,718,3538,3000,38,1,Austin,18763,36.1,Black,Chicago
615000,2410,3,Single Family Residential,661,3458,3048,39,1,Austin,18763,36.1,Black,Chicago
370000,1568,14,Townhouse,759,3600,4150,42,0,Austin,18763,36.1,Black,Chicago
359900,2000,13,Townhouse,793,3576,4228,39,0,Austin,18763,36.1,Black,Chicago
399900,2025.422782,96,Multi-Family,799,3882,3459,36,0,Austin,18763,36.1,Black,Chicago
649000,2025.422782,0,Multi-Family,476,4286,2757,46,2,Austin,18763,36.1,Black,Chicago
309000,2025.422782,71,Multi-Family,318,1097,1446,62,1,Austin,18763,36.1,Black,Chicago
325000,2025.422782,98,Multi-Family,459,770,1670,63,1,Austin,18763,36.1,Black,Chicago
398500,1154,104,Single Family Residential,476,452,1739,52,0,Austin,18763,36.1,Black,Chicago
720000,2025.422782,58,Multi-Family,241,499,1717,54,1,Austin,18763,36.1,Black,Chicago
129999,1200,70,Townhouse,416,1593,743,69,1,Austin,18763,36.1,Black,Chicago
120000,1000,138,Single Family Residential,62,2480,835,58,1,Austin,18763,36.1,Black,Chicago
255000,2025.422782,112,Multi-Family,519,1978,622,69,1,Austin,18763,36.1,Black,Chicago
350000,2025.422782,68.46433862,Multi-Family,456,1766,699,71,1,Austin,18763,36.1,Black,Chicago
285000,2025.422782,111,Multi-Family,170,2355,783,60,1,Austin,18763,36.1,Black,Chicago
284900,3100,132,Single Family Residential,646,1861,448,64,0,Austin,18763,36.1,Black,Chicago
374900,2025.422782,123,Multi-Family,473,2035,670,64,1,Austin,18763,36.1,Black,Chicago
385000,2025.422782,108,Multi-Family,360,2189,424,53,0,Austin,18763,36.1,Black,Chicago
419000,1600,143,Single Family Residential,827,2218,211,49,0,Austin,18763,36.1,Black,Chicago
